assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,501837,44,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021/22,45,0,0.0,0,0
0,0,0,0,0.0,501837,39,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/23,40,0,0.0,0,0
0,0,0,0,0.0,501837,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023/24,40,0,0.0,0,0
0,0,24,0,27.3,501837,38,0.03,0.36,0.33,5.63,12,0,16.0,110.2,441,0,0,0,0,0,0,0,0,0,0,0,0,2024/25,40,5,21.0,3,2
