assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,3,0,0.6,222625,45,0.00,0.00,0.00,0.00,1,0,2.6,3.2,9,0,0,0,0,0,0,0,0,0,0,0,0,2019/20,45,0,25.0,2,0
1,3,157,0,64.5,222625,54,0.24,2.38,2.14,15.41,16,3,41.2,146.4,645,0,0,0,0,0,0,0,0,0,0,0,0,2024/25,55,5,207.0,46,3
