assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,508395,45,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/23,45,0,0.0,0,0
0,0,95,4,66.9,508395,42,1.00,1.94,0.94,9.42,9,0,29.0,98.4,670,0,0,0,0,0,0,0,0,0,0,0,0,2023/24,45,6,127.0,33,2
0,0,255,3,196.1,508395,43,0.91,1.53,0.62,26.43,25,0,54.4,259.6,1435,0,0,0,0,0,0,0,0,0,0,0,0,2024/25,45,15,89.0,43,6
