assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,547701,45,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021/22,45,0,0.0,0,0
0,0,0,0,0.0,547701,45,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/23,45,0,0.0,0,0
0,0,253,2,71.4,547701,46,0.19,0.22,0.03,37.33,41,0,34.3,254.6,1750,0,0,0,0,0,0,0,1,0,0,0,0,2024/25,50,19,15.0,45,1
