assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
4,3,270,5,265.6,247348,45,1.26,2.52,1.26,19.71,22,0,71.7,331.0,1440,0,0,0,0,0,0,0,0,0,0,0,0,2023/24,45,16,119.0,56,4
6,9,480,11,634.2,247348,52,3.46,8.38,4.92,46.30,46,4,197.6,816.6,3229,0,0,0,0,0,0,0,0,0,0,0,0,2024/25,50,37,524.0,142,10
