assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,577725,45,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023/24,45,0,0.0,0,0
0,0,30,1,45.7,577725,44,0.67,0.95,0.28,0.74,0,0,11.2,26.2,126,0,0,0,0,0,0,0,0,0,0,0,0,2024/25,45,1,38.0,10,0
