assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,112520,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014/15,40,0,0.0,0,0
0,0,0,0,0.0,112520,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015/16,40,0,0.0,0,0
0,0,0,0,0.0,112520,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016/17,40,0,0.0,0,0
0,0,0,0,0.0,112520,40,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017/18,40,0,0.0,0,0
0,0,94,0,10.0,112520,45,0.00,0.00,0.00,24.64,30,0,36.6,356.8,1170,0,0,0,0,0,0,0,0,0,0,0,45,2024/25,45,13,0.0,22,2
