assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,15,0,13.4,476344,55,0.02,0.61,0.59,3.88,4,0,7.4,12.8,126,0,0,0,0,0,0,0,0,0,0,0,0,2022/23,55,0,51.0,11,1
1,7,162,0,55.2,476344,50,0.15,2.18,2.04,11.16,12,5,40.2,190.2,461,0,0,0,0,0,0,0,0,0,0,0,0,2023/24,50,3,165.0,50,5
0,9,222,2,68.9,476344,57,0.24,5.35,5.11,9.94,14,7,67.5,273.8,622,0,0,0,0,0,0,0,0,0,0,1,0,2024/25,60,4,334.0,53,3
